"";"X";"Data.mostreig";"darrers_14";"darrers_7";"set_i_set";"mitjana_7";"N1.Concentracio.final";"Cabal.influent.últimes.24h.calculat";"Laboratori";"EDAR";"load_N1";"log_14";"log_7";"log_7_7";"log_mean_7";"log_N1";"sim_median_1_5";"sim_median_2_4";"sim_median_3_3";"sim_median_4_2";"sim_median_5_1"
"65";65;"2020-07-27";260;174;302;24,86;3612,83;14316;"Virus Entèrics-UB";"DFIG";51721274280;2,41497334797082;2,2405492482826;2,48000694295715;1,39550112430563;10,7136692162462;225111,176557756;26967,5956092603;3102,0050044518;351,275359008734;41,8552209240499
"66";66;"2020-07-27";135;81;242;11,57;3200,48;22592;"Virus Entèrics-UB";"DGRA";72305244160;2,13033376849501;1,90848501887865;2,38381536598043;1,06333335895175;10,8591697969786;314997,659972539;37696,8401413995;4297,21610698871;491,362633780962;58,6519907042169
"67";67;"2020-07-27";336;199;460;28,43;1918,69;51486;"Virus Entèrics-UB";"DMIR";98785673340;2,52633927738984;2,29885307640971;2,66275783168157;1,45377685969044;10,9946939644202;431060,365579357;51850,21844049;5899,23344999664;667,153990372961;80,2872813163793
"68";68;"2020-07-27";4132;2119;4041;302,71;16478,84;226127;"Virus Entèrics-UB";"DPDL";3726310652680;3,61616031284758;3,32613095671079;3,60648885044265;2,48102676807611;12,5712790580537;16323342,6675402;1950275,20920463;223012,464433673;25164,8013259577;3028,71139961519
"69";69;"2020-08-03";188;66;100;9,43;62474,67;24389;"UB_Girones";"DIGU";1523694726630;2,27415784926368;1,81954393554187;2;0,974511692737328;12,1828979644968;6683141,15327066;794435,422473881;90412,8754451845;10253,9545545983;1231,17145713505
"70";70;"2020-08-03";179;84;124;12;28892,56;20931;"UB_Girones";"DMAS";604750173360;2,25285303097989;1,92427928606188;2,09342168516224;1,07918124604762;11,7815760015305;2649112,06127524;319285,556257318;35893,1004271631;4104,27969783486;489,852969053194
"71";71;"2020-08-03";17;4;9;0,57;41724,12;2181;"UB_Girones";"DSLL";91000305720;1,23044892137827;0,602059991327962;0,954242509439325;-0,244125144327509;10,9590428513572;397321,734436603;47748,8740596705;5380,29036841958;618,22913103114;74,3512889210971
"72";72;"2020-08-03";628;288;549;41,14;9047,17;53170;"UB_Girones";"DGVC";481038028900;2,7979596437372;2,45939248775923;2,73957234445009;1,61426428735871;11,6821794112773;2101043,38306044;251850,665073343;28679,9189575228;3247,8331957373;391,008404789238
"73";73;"2020-08-03";547;306;533;43,71;20079,21;50046;"UB_Girones";"DSFL";1004884143660;2,73798732633343;2,48572142648158;2,72672720902657;1,64058080648965;12,0021159934286;4369219,61451574;527195,575419383;60017,8462785725;6801,53597600775;811,387705008959
"74";74;"2020-08-03";4282;2080;3892;297,14;45800,19;331372;"UB_Girones";"DBSS";15176900560680;3,63164666295842;3,31806333496276;3,59017283159631;2,47296111901995;13,1811830886325;66296664,0768743;7971376,18792319;901101,425165063;102762,231740422;12249,8178939566
"75";75;"2020-08-03";55;36;66;5,14;19016,85;16794;"UB_Girones";"DVLG";319368978900;1,74036268949424;1,55630250076729;1,81954393554187;0,710963118995276;11,5042927297523;1390968,72457693;168193,194257773;18993,8074622063;2165,30009097985;260,064658634562
"76";76;"2020-08-03";175;83;206;11,86;118947,9;28860;"UB_Girones";"DMAT";3432836394000;2,24303804868629;1,91907809237607;2,31386722036915;1,07408468902824;12,5356531058213;14981747,4246142;1797455,39507521;204119,541696994;23187,5177046106;2778,13393307758
"77";77;"2020-08-03";91;50;109;7,14;1977,69;20628;"UB_Girones";"DVIC";40795789320;1,95904139232109;1,69897000433602;2,03742649794062;0,853698211776174;10,610615340309;177358,070365802;21371,5912108331;2408,67341733665;275,562630839774;33,1163660094951
"78";78;"2020-08-03";359;242;569;34,57;146525,84;38949,6;"UB_Girones";"DTRS";5707122857664;2,55509444857832;2,38381536598043;2,75511226639507;1,53869937954241;12,7564172217396;25024380,421083;3004067,39170688;340822,563506117;38429,8297083594;4627,00694984636
