"";"X";"Data.mostreig";"darrers_14";"darrers_7";"set_i_set";"mitjana_7";"N1.Concentracio.final";"Cabal.influent.últimes.24h.calculat";"Laboratori";"EDAR";"load_N1";"log_14";"log_7";"log_7_7";"log_mean_7";"log_N1";"sim_median_1_5";"sim_median_2_4";"sim_median_3_3";"sim_median_4_2";"sim_median_5_1"
"563";563;"2020-11-02";470;227;386;32,43;5491710,69;10061;"Virus Entèrics-UB";"DBAY";55252101252090;2,67209785793572;2,35602585719312;2,58658730467176;1,51094694867297;13,7423487990057;241357802,430068;28911414,9070045;3294671,96865265;372283,782497755;44850,7391384652
"564";564;"2020-11-02";1868;935;1663;133,57;8588712,16;40355;"Virus Entèrics-UB";"DGIR";346597479216800;3,27137687189407;2,97081161087252;3,22089224921952;2,12570892597265;14,539825399791;1518137081,08867;181928510,173088;20821433,9729479;2343523,13403818;281433,730908151
"565";565;"2020-11-02";1093;492;858;70,29;9760477,13;22344;"Virus Entèrics-UB";"DGRA";218088100992720;3,0386201619497;2,69196510276736;2,93348728784871;1,84689354331663;14,3386319708782;957078124,890798;114377618,282249;12991789,2823916;1474860,86757652;177786,678387495
"566";566;"2020-11-02";1934;1016;1864;145,14;7798992,19;55068;"Virus Entèrics-UB";"DMIR";429474901918920;3,28645646974698;3,0068937079479;3,27044590801796;2,16178711874552;14,6329377891763;1874936374,75986;225214514,75671;25557138,1961138;2915686,66582178;348112,575957374
"567";567;"2020-11-02";252;138;237;19,71;2775798,28;9601;"Virus Entèrics-UB";"DVEN";26650439286280;2,40140054078154;2,13987908640124;2,3747483460101;1,29468662427944;13,4257043720131;116624634,437385;13997518,5280619;1579406,89839034;180836,696540325;21552,2218104805
"568";568;"2020-11-02";392;245;519;35;5253084,96;14837;"Virus Entèrics-UB";"DVDP";77940021551520;2,59328606702046;2,38916608436453;2,71516735784846;1,54406804435028;13,8917605215453;340725552,967836;40956355,8699825;4643386,60380966;528275,453882395;63079,6547867851
"569";569;"2020-11-02";8747;4146;7427;592,29;7251177,34;197152;"Virus Entèrics-UB";"DPDL";1429584114935680;3,94185912652537;3,61762929775784;3,8708134239156;2,77253440023932;15,1552097137882;6243785658,01454;749969172,554355;84865338,4160503;9700608,42684235;1159150,58679615
"570";570;"2020-11-02";233;107;215;15,29;54234265,14;4644,05;"Virus Entèrics-UB";"DBER";251866639023417;2,36735592102602;2,02938377768521;2,33243845991561;1,18440748541232;14,4011706468648;1096970125,26874;131889552,503364;15037461,9985877;1694280,85353591;203481,121732259
"571";571;"2020-11-02";1389;744;1282;106,29;5991449,85;21330;"Virus Entèrics-UB";"DRUB";127797625300500;3,14270224573762;2,87157293554588;3,1078880251828;2,02649240705284;14,1065227839595;560437442,316508;67066852,4295067;7573937,92062079;871343,188945545;103846,088203302
"572";572;"2020-11-02";77;44;97;6,29;2278079,49;4702;"Virus Entèrics-UB";"DPUI";10711529761980;1,88649072517248;1,64345267648619;1,98677173426624;0,798650645445269;13,0298514988191;46728944,0019642;5643355,84570494;640314,759634938;72651,8373194925;8701,13815228315
"573";573;"2020-11-02";386;206;360;29,43;4729494,58;14702;"Virus Entèrics-UB";"DABR";69533029315160;2,58658730467176;2,31386722036915;2,55630250076729;1,46879026209961;13,8421911505161;304324620,995764;36276536,4084904;4154701,08828708;470535,787499302;56682,666708037
"574";574;"2020-11-02";400;168;368;24;8157364,28;7465;"Virus Entèrics-UB";"DMRT";60894724350200;2,60205999132796;2,22530928172586;2,56584781867352;1,38021124171161;13,784579668908;266305032,648294;31964230,822022;3618383,80243389;413705,35234168;49544,0142151815
"575";575;"2020-11-02";2060;986;1816;140,86;12626779,04;20108;"Virus Entèrics-UB";"DSRS";253899272936320;3,31386722036915;2,99387691494121;3,25911584418507;2,14878768405631;14,4046614572337;1111349248,06531;132801726,446852;15066981,4931312;1718399,37920291;205892,078336734
"576";576;"2020-11-02";733;374;633;53,43;17518084,51;13171;"Virus Entèrics-UB";"DFIG";230730691081210;2,86510397464113;2,57287160220048;2,80140371001736;1,72778517418291;14,3631053668691;1008670790,83028;120619880,418448;13695821,4936612;1562616,6040088;187017,810776201
"577";577;"2020-11-02";314;136;260;19,43;46754,66;3061;"EURECAT";"DAMP";143116014260;2,49692964807321;2,13353890837022;2,41497334797082;1,28847280059978;11,1556882327508;626802,552862146;74617,1073277385;8563,06296650195;973,049440562008;116,244842357436
"578";578;"2020-11-02";187;128;270;18,29;169340,13;5346;"EURECAT";"DBAL";905292334980;2,2718416065365;2,10720996964787;2,43136376415899;1,26221370547642;11,956788843258;3949530,44236582;474268,645969304;53955,928217094;6108,05686407782;736,277646961894
"579";579;"2020-11-02";20;8;11;1,14;22132,54;313;"EURECAT";"DFAL";6927485020;1,30102999566398;0,903089986991944;1,04139268515823;0,0569048513364726;9,8405755953365;30430,3873828641;3618,82572674576;413,639449669786;46,8400755198786;5,60467481971579
"580";580;"2020-11-02";108;59;118;8,43;28393,38;13036;"EURECAT";"DFON";370136101680;2,03342375548695;1,77085201164214;2,07188200730613;0,925827574624742;11,5683614466076;1626153,87966436;192450,763157648;22082,5106737034;2515,27578244016;300,207370515158
"581";581;"2020-11-02";30;19;29;2,71;23751,38;430;"EURECAT";"DGAN";10213093400;1,47712125471966;1,27875360095283;1,46239799789896;0,432969290874406;10,0091573036025;44740,2853291176;5373,89240513361;607,472335711494;69,0062223662236;8,28122474892524
"582";582;"2020-11-02";1074;470;903;67,14;70095,01;45652;"EURECAT";"DLLE";3199977396520;3,03100428136354;2,67209785793572;2,95568775031351;1,82698133691199;12,505146910632;14033052,7855967;1692964,02034958;190559,067830951;21602,5648342797;2591,6426958519
"583";583;"2020-11-02";47;22;30;3,14;63247,36;949;"EURECAT";"DMOB";60021744640;1,67209785793572;1,34242268082221;1,47712125471966;0,496929648073215;10,7783086148228;263009,23476462;31213,0093734558;3577,18891346322;404,544803754079;48,8790722682371
"584";584;"2020-11-02";1782;871;1473;124,43;72512,34;15933;"EURECAT";"DRUS";1155339113220;3,25090769970086;2,94001815500766;3,16820274684263;2,09492510112416;12,0627094763356;5066261,05769567;604786,479004065;68174,3592960989;7812,64645635877;936,957591188388
"585";585;"2020-11-02";64;30;76;4,29;406862,76;2117;"EURECAT";"DSOL";861328462920;1,80617997398389;1,47712125471966;1,88081359228079;0,632457292184724;11,9351687988763;3777354,85801732;453404,122040624;51461,0955418123;5837,11748608926;701,258899415931
"586";586;"2020-11-02";1298;605;1166;86,43;92617;27811;"EURECAT";"DTAR";2575771387000;3,11327469246435;2,78175537465247;3,066698550423;1,93666451300008;12,4109073145223;11276525,2286836;1351863,57650338;154221,092566289;17418,3397204985;2088,26596747475
"587";587;"2020-11-02";443;160;275;22,86;168235,73;5893;"EURECAT";"DTOT";991413156890;2,64640372622307;2,20411998265592;2,43933269383026;1,35907622605926;11,996254678062;4336485,79940834;519203,247988747;58680,5073639575;6698,08285437641;799,189829793124
"588";588;"2020-11-02";151;79;157;11,29;154254,23;2951;"EURECAT";"DTRG";455204232730;2,17897694729317;1,89762709129044;2,19589965240923;1,05269394192497;11,6582062917059;1988314,77545568;238948,196265801;27119,6880345164;3079,50810770351;369,810899957291
"589";589;"2020-11-09";1229;626;1021;89,43;704720,53;31388;"Virus Entèrics-UB";"DLLL";22119767995640;3,08955188288645;2,79657433321043;3,00902574208691;1,95148323075229;13,3447805675358;96891616,527479;11600578,5218735;1318022,9358182;151084,455565576;17917,0061747158
"590";590;"2020-11-09";386;159;255;22,71;571928,56;10210;"Virus Entèrics-UB";"DBAY";5839390597600;2,58658730467176;2,20139712432045;2,40654018043396;1,35621713421974;12,7663675262375;25659705,6007406;3060984,35065659;348610,029480966;39369,7533090589;4735,39139005362
"591";591;"2020-11-09";1663;728;1197;104;469934,07;33874;"Virus Entèrics-UB";"DGIR";15918546687180;3,22089224921952;2,86213137931304;3,07809415040641;2,01703333929878;13,2019034155028;69877349,077978;8300262,92583208;948567,79886962;108237,528317915;12914,0114108508
"592";592;"2020-11-09";1864;848;1340;121,14;843838,51;53704;"Virus Entèrics-UB";"DMIR";45317503341040;3,27044590801796;2,92839585225671;3,12710479836481;2,08328756932728;13,6562659754394;198119886,298599;23725228,4853734;2711250,09164153;305540,949220514;36926,4464157254
"593";593;"2020-11-09";237;99;241;14,14;377901,47;12057;"Virus Entèrics-UB";"DVEN";4556358023790;2,3747483460101;1,99563519459755;2,38201704257487;1,15044940946088;12,6586178421953;19866796,4973187;2386086,60531089;272271,375627012;30704,4293646681;3685,04683096788
"594";594;"2020-11-09";519;274;405;39,14;192654,88;15542;"Virus Entèrics-UB";"DVDP";2994242144960;2,71516735784846;2,43775056282039;2,60745502321467;1,59262082132198;12,4762869189087;13097562,1525357;1575747,12892815;177547,784131553;20208,6098734757;2428,49146151353
"595";595;"2020-11-09";7427;3281;5424;468,71;819995,12;199518;"Virus Entèrics-UB";"DPDL";163603786352160;3,8708134239156;3,51600623038605;3,73431968085901;2,67090421935868;14,2137933505139;715677799,923554;85650873,295357;9776616,62089269;1104467,01555011;132380,619503265
"596";596;"2020-11-09";215;108;161;15,43;367993,65;4521,79;"Virus Entèrics-UB";"DBER";1663990006633,5;2,33243845991561;2,03342375548695;2,20682587603185;1,18836592606315;12,2211507137354;7254564,39878251;872878,326907725;98617,1610620836;11294,9813217389;1348,11134960419
"597";597;"2020-11-09";1282;538;786;76,86;1249713,12;23938;"Virus Entèrics-UB";"DRUB";29915632666560;3,1078880251828;2,73078227566639;2,89542254603941;1,88570038012833;13,4758981918911;130498739,682682;15702567,6040847;1774126,99013529;200512,982340946;24332,5574493751
"598";598;"2020-11-09";97;53;107;7,57;1094497,62;5677;"Virus Entèrics-UB";"DPUI";6213462988740;1,98677173426624;1,72427586960079;2,02938377768521;0,879095879500073;12,7933337157511;27248387,3018198;3242636,9602371;370814,150080526;41971,2328984271;5015,19649985018
"599";599;"2020-11-09";360;154;230;22;74409,59;14727;"Virus Entèrics-UB";"DABR";1095830031930;2,55630250076729;2,18752072083646;2,36172783601759;1,34242268082221;12,0397431983826;4781602,19939107;572857,712368869;65378,4516617273;7407,22454527072;889,899643168974
"600";600;"2020-11-09";368;200;331;28,57;566593,69;8617;"Virus Entèrics-UB";"DMRT";4882337826730;2,56584781867352;2,30102999566398;2,51982799377572;1,45591024038274;12,6886278265373;21429510,6810445;2555171,84219421;289342,297180957;33144,3077405411;3959,52658004477
"601";601;"2020-11-09";1816;830;1405;118,57;965141,28;21830;"Virus Entèrics-UB";"DSRS";21069034142400;3,25911584418507;2,91907809237607;3,1476763242411;2,07397481986666;13,3236446269113;92383089,5248453;11094121,5552719;1245214,36715924;142809,280155241;17068,8616286571
"602";602;"2020-11-09";633;259;430;37;2125871,22;12446;"Virus Entèrics-UB";"DFIG";26458593204120;2,80140371001736;2,41329976408125;2,63346845557959;1,56820172406699;13,4225667491512;115777832,057411;13795900,1798903;1576771,6688546;179960,24991337;21560,0346404833
"603";603;"2020-11-09";260;124;191;17,71;76478,29;3505;"EURECAT";"DAMP";268056406450;2,41497334797082;2,09342168516224;2,28103336724773;1,24821856119007;11,4282261911645;1175589,86018731;141386,91492966;15935,4074426609;1819,84860640477;218,40228609852
"604";604;"2020-11-09";270;142;221;20,29;33010,28;5206;"EURECAT";"DBAL";171851517680;2,43136376415899;2,15228834438306;2,34439227368511;1,30728204703335;11,2351533718945;752420,083245155;89774,8210760912;10206,2064784983;1161,71153577265;139,576954219519
"605";605;"2020-11-09";52;15;29;2,14;15176,91;1555;"EURECAT";"DBBL";23600095050;1,7160033436348;1,17609125905568;1,46239799789896;0,330413773349191;10,372913752106;102851,469338928;12361,5216164725;1403,79036818358;160,73934648068;19,156910255294
"606";606;"2020-11-09";112;65;89;9,29;172942,72;1414;"EURECAT";"DCER";244541006080;2,04921802267018;1,81291335664286;1,94939000664491;0,968015713993642;11,3883516946296;1072293,01177872;128615,922941365;14493,0449717096;1652,3010921454;197,807612978414
"607";607;"2020-11-09";903;433;815;61,86;17304,58;41515;"EURECAT";"DLLE";718399638700;2,95568775031351;2,63648789635337;2,91115760873998;1,79140991566716;11,8563661052424;3136590,92636519;375066,907702293;42630,5944721487;4840,40938083134;582,049737592022
"608";608;"2020-11-09";166;68;119;9,71;13323,25;8967,49;"EURECAT";"DVAL";119476111142,5;2,22010808804005;1,83250891270624;2,07554696139253;0,987219229908005;11,0772810782036;523589,867893218;62650,1801486883;7082,40482226568;811,765516816135;97,4289949090865
"609";609;"2020-11-09";97;60;139;8,57;66111,88;3597;"EURECAT";"DMOF";237804432360;1,98677173426624;1,77815125038364;2,14301480025409;0,932980821923198;11,3762199450327;1039334,44836033;124056,159185852;14116,9590644186;1608,87372831202;192,609291503991
"610";610;"2020-11-09";78;45;53;6,43;3005,29;1589,7;"EURECAT";"DMLN";4777509513;1,89209460269048;1,65321251377534;1,72427586960079;0,808210972924222;9,67920156049718;20836,0504610411;2506,78374458013;284,08320786563;32,327627124795;3,88571632877577
"611";611;"2020-11-09";1473;602;1073;86;74054,47;16183;"EURECAT";"DRUS";1198423488010;3,16820274684263;2,77959649125782;3,03059972196595;1,93449845124357;12,0786103122155;5238641,30060132;628438,149813494;71533,0463635383;8166,57622625979;968,810906915237
"612";612;"2020-11-09";76;46;60;6,57;241464,5;2185;"EURECAT";"DSOL";527599932500;1,88081359228079;1,66275783168157;1,77815125038364;0,817565369559781;11,7223047313116;2309586,8314862;277368,654006206;31493,994695133;3550,7425098816;427,546889296361
"613";613;"2020-11-09";1166;561;938;80,14;25156,17;26162;"EURECAT";"DTAR";658135719540;3,066698550423;2,74896286125616;2,97220283837906;1,90384933809668;11,8183154622605;2870744,47202236;345123,293015949;39214,4788331628;4449,02752176569;531,368656200033
"614";614;"2020-11-09";275;115;169;16,43;9988,37;5809;"EURECAT";"DTOT";58022441330;2,43933269383026;2,06069784035361;2,22788670461367;1,21563756343506;10,7635959980592;254255,541174158;30420,3510918666;3441,45423079246;393,398298353082;47,1090939204629
"615";615;"2020-11-09";38;15;29;2,14;46565,04;321;"EURECAT";"DSOR";14947377840;1,57978359661681;1,17609125905568;1,46239799789896;0,330413773349191;10,1745650127608;65441,5813369863;7848,00855222222;883,426901243219;101,770052822048;12,1181346761693
"616";616;"2020-11-09";35;25;48;3,57;4032,96;6321;"EURECAT";"DVIE";25492340160;1,54406804435028;1,39794000867204;1,68124123737559;0,552668216112193;10,4064097049053;111850,340647515;13260,4314473299;1523,98841333043;171,546943316272;20,6636663450264
"617";617;"2020-11-09";323;152;263;21,71;17045,14;5275;"UB_Girones";"DMAN";89913113500;2,5092025223311;2,18184358794477;2,41995574848976;1,33665982345442;10,9538230366205;395650,835151244;47089,2212085917;5368,8052987423;613,312118233332;73,0860783491723
"618";618;"2020-11-09";361;127;234;18,14;3967,83;23620;"UB_Girones";"DIGU";93720144600;2,55750720190566;2,10380372095596;2,36921585741014;1,25863728272408;10,9718329499946;410710,726116856;48783,6508975732;5587,72174149532;639,098180932981;76,1984626827881
"619";619;"2020-11-09";620;303;569;43,29;10335,63;22436;"UB_Girones";"DMAS";231890194680;2,79239168949825;2,4814426285023;2,75511226639507;1,63638758581316;11,3652823851779;1013736,34323994;121196,516915196;13924,090417796;1567,75860011287;188,547942787082
"620";620;"2020-11-09";134;82;132;11,71;27703,57;2486;"UB_Girones";"DSLL";68871075020;2,12710479836481;1,91381385238372;2,12057393120585;1,06855689507236;10,8380368620126;301446,629489897;36046,3373033722;4105,35080097217;466,361446065996;55,687745098804
"621";621;"2020-11-09";1989;877;1495;125,29;35503,37;47140;"UB_Girones";"DGVC";1673628861800;3,29863478312444;2,94299959336604;3,17464119266045;2,09791640923733;12,2236591566783;7312178,13917063;879199,556618222;99196,3937451294;11361,0894956031;1357,90794946573
"622";622;"2020-11-09";2389;1153;1893;164,71;10417,87;52151;"UB_Girones";"DSFL";543302338370;3,37821614974988;3,0618293072947;3,2771506139638;2,21671996719028;11,7350415742386;2371519,84354078;284363,641300361;32258,3232867105;3658,40940679036;441,370176952176
"623";623;"2020-11-09";12326;5568;9180;795,43;11938,24;359000;"UB_Girones";"DBSS";4285828160000;4,09082216339466;3,74569922660251;3,96284268120124;2,90060196657045;12,632034754046;18734444,6267808;2252584,74247331;254745,871248289;28932,5518431087;3481,02764181538
"624";624;"2020-11-09";535;237;380;33,86;10524,04;14041;"UB_Girones";"DVLG";147768045640;2,72835378202123;2,3747483460101;2,57978359661681;1,52968695377292;11,1695805294404;647587,354860791;77580,207606483;8744,34613013042;997,487061027125;119,876309555881
"625";625;"2020-11-09";1540;614;994;87,71;13364,55;26500;"UB_Girones";"DMAT";354160575000;3,18752072083646;2,78816837114117;2,99738638439731;1,94304911100841;11,5492002140734;1553331,77342935;186262,020313845;21139,803787932;2382,62880428669;286,792196137544
"626";626;"2020-11-09";870;405;622;57,86;11127,22;25,813;"UB_Girones";"DVIC";287226929,86;2,93951925261862;2,60745502321467;2,79379038469082;1,76237842931196;8,45822515611798;1256,09210156607;150,10870423028;17,1456981577756;1,9482802589397;0,233845859111046
"627";627;"2020-11-09";1910;787;1199;112,43;11000,7;41705,6;"UB_Girones";"DTRS";458790793920;3,28103336724773;2,89597473235906;3,07881918309885;2,05088221066403;11,6616146947788;2004101,57163173;240134,560653279;27123,425064455;3106,02008296585;373,84343836783
"628";628;"2020-11-09";565;216;369;30,86;13559,37;13165;"UB_Girones";"DPAM";178509106050;2,75204844781944;2,33445375115093;2,56702636615906;1,48939592172713;11,2516603751059;780871,916072244;94046,7936520503;10658,6574892907;1210,44260113764;144,475390822675
"629";629;"2020-11-09";85;32;53;4,57;4560,93;6969;"UB_Girones";"DRIP";31785121170;1,92941892571429;1,50514997831991;1,72427586960079;0,65991620006985;10,5022238713701;138835,51654537;16672,4473840643;1898,24375420885;214,123224568808;25,7023920016507
"630";630;"2020-11-09";447;184;350;26,29;7307,1;15253;"UB_Girones";"DOLO";111455196300;2,65030752313194;2,26481782300954;2,54406804435028;1,41979058610636;11,0471003211053;486093,922509492;58593,9802973954;6649,03587260157;758,261454645519;90,0066548133749
"631";631;"2020-11-09";131;75;127;10,71;24085,71;7560;"UB_Girones";"DLDM";182087967600;2,11727129565576;1,8750612633917;2,10380372095596;1,02978947083186;11,2602812484991;797289,818797284;95358,1261698655;10857,2711712358;1231,82218116972;147,406294027603
"632";632;"2020-11-16";263;111;211;15,86;48013,35;4906;"UB_Girones";"DMAN";235553495100;2,41995574848976;2,04532297878666;2,32428245529769;1,20030318298158;11,3720895526047;1032407,16565857;123737,236425145;14061,4194853824;1588,54510000206;191,673366075127
"633";633;"2020-11-16";234;107;187;15,29;4727,98;24615;"UB_Girones";"DIGU";116379227700;2,36921585741014;2,02938377768521;2,2718416065365;1,18440748541232;11,065875470861;511965,936854415;61152,4499754585;6943,66857758859;791,834494732505;94,1898226963973
"634";634;"2020-11-16";569;266;469;38;9182,9;20433;"UB_Girones";"DMAS";187634195700;2,75511226639507;2,42488163663107;2,67117284271508;1,57978359661681;11,2733119899623;816686,968764241;97985,6834864224;11243,2570665135;1267,50251636162;152,58236223255
"635";635;"2020-11-16";132;50;79;7,14;14033,22;2415;"UB_Girones";"DSLL";33890226300;2,12057393120585;1,69897000433602;1,89762709129044;0,853698211776174;10,530074468823;147212,245918307;17619,2839168605;2020,4413676309;228,657325773469;27,5485163126867
"636";636;"2020-11-16";1893;740;1290;105,71;9401,82;51149;"UB_Girones";"DSFL";480893691180;3,2771506139638;2,86923171973098;3,11058971029925;2,02411607282677;11,6820490796238;2107622,49825435;251166,54898316;28842,0034942057;3273,31135056932;392,362515308717
"637";637;"2020-11-16";9180;3612;6017;516;60648,15;368208;"UB_Girones";"DBSS";22331134015200;3,96284268120124;3,55774774164147;3,77938001149166;2,71264970162721;13,3489107778873;97914707,328289;11745711,930542;1332412,50937762;149860,262456697;18100,5974988271
"638";638;"2020-11-16";380;143;215;20,43;2442,53;15560;"UB_Girones";"DVLG";38005766800;2,57978359661681;2,15533603746506;2,33243845991561;1,31026836663245;10,5798494992326;166049,838581823;19858,7381982284;2260,24679536471;258,107979202409;30,9238581340397
"639";639;"2020-11-16";994;380;607;54,29;32647,69;24800;"UB_Girones";"DMAT";809662712000;2,99738638439731;2,57978359661681;2,78318869107526;1,73471984165568;11,9083041388494;3526800,90708249;425847,104454309;48208,8034278826;5487,34391895057;657,063973952159
"640";640;"2020-11-16";622;217;397;31;43097,3;21867;"UB_Girones";"DVIC";942408659100;2,79379038469082;2,33645973384853;2,59879050676312;1,49136169383427;11,9742392678739;4117993,85023443;495283,552210024;56260,9353007454;6405,74081783636;766,604363781486
"641";641;"2020-11-16";1199;412;725;58,86;30742,97;42509,2;"UB_Girones";"DTRS";1306859060324;3,07881918309885;2,61489721603313;2,86033800657099;1,76982025776359;12,1162287531322;5710781,52239831;687133,061648391;77733,771414746;8914,57587500085;1062,25152125513
"642";642;"2020-11-16";369;153;243;21,86;4039,58;13225;"UB_Girones";"DPAM";53423445500;2,56702636615906;2,1846914308176;2,38560627359831;1,33965015761368;10,7277318940445;233351,926021486;28237,5916098495;3198,08897474409;359,483357939884;43,3062558624617
"643";643;"2020-11-16";53;21;41;3;12929,37;5945;"UB_Girones";"DRIP";76865104650;1,72427586960079;1,32221929473392;1,61278385671974;0,477121254719662;10,8857292227996;337624,312940817;40312,891536636;4573,1674083013;522,044928431368;62,4658067610825
"644";644;"2020-11-16";350;166;267;23,71;5619,22;14555;"UB_Girones";"DOLO";81787747100;2,54406804435028;2,22010808804005;2,42651126136458;1,37493155397819;10,9126882454141;357410,371715371;42841,779806248;4856,87272980365;556,26913212782;66,3117578041098
"645";645;"2020-11-16";195;80;120;11,43;20435,41;7644;"UB_Girones";"DBLN";156208274040;2,29003461136252;1,90308998699194;2,07918124604762;1,05804623039528;11,193704033861;679484,238144954;81454,6967215478;9275,69084191255;1062,50548352073;126,52507381597
"646";646;"2020-11-16";191;67;100;9,57;82213,35;3168;"EURECAT";"DAMP";260451892800;2,28103336724773;1,82607480270083;2;0,980911937776844;11,4157275179584;1140675,66733614;136739,55915767;15549,4337971665;1761,4877606971;210,443020686172
"647";647;"2020-11-16";221;79;138;11,29;57926,54;4740;"EURECAT";"DBAL";274571799600;2,34439227368511;1,89762709129044;2,13987908640124;1,05269394192497;11,4386559301803;1196176,40011746;143741,268709148;16418,2946312092;1855,59044553244;222,644167020982
"648";648;"2020-11-16";11;8;10;1,14;162762,35;312;"EURECAT";"DFAL";50781853200;1,04139268515823;0,903089986991944;1;0,0569048513364726;10,7057085456879;223560,504320362;26626,4875686872;3013,22335242123;344,554138215181;41,0353970227098
"649";649;"2020-11-16";90;31;53;4,43;17034,08;13716;"EURECAT";"DFON";233639441280;1,95424250943932;1,49136169383427;1,72427586960079;0,64640372622307;11,368546159007;1024260,25621181;122299,15386677;13962,3863901053;1591,37403734504;188,795781696676
"650";650;"2020-11-16";11;1;3;0,14;12752,38;683;"EURECAT";"DGAN";8709875540;1,04139268515823;0;0,477121254719662;-0,853871964321762;9,94001194918936;38037,9298992186;4563,86728868437;519,756341296805;59,0775327760974;7,06921896926358
"651";651;"2020-11-16";815;382;645;54,57;54988,68;36138;"EURECAT";"DLLE";1987180917840;2,91115760873998;2,58206336291171;2,80955971463527;1,73695395378315;12,298237408148;8714680,07423515;1035579,07644159;118409,588626107;13426,5676733408;1613,76109814154
"652";652;"2020-11-16";139;79;140;11,29;1249545,92;2094;"EURECAT";"DMOF";2616549156480;2,14301480025409;1,89762709129044;2,14612803567824;1,05269394192497;12,4177288981384;11430539,2116788;1372465,98101779;153820,355774904;17642,5328652574;2125,63613376157
"653";653;"2020-11-16";17;12;22;1,71;21756,85;920;"EURECAT";"DPSU";20016302000;1,23044892137827;1,07918124604762;1,34242268082221;0,232996110392154;10,3013838449045;87799,8951208743;10478,0630698623;1195,66454125126;135,396703320387;16,186072993525
"654";654;"2020-11-16";1073;471;686;67,29;50255,1;15614;"EURECAT";"DRUS";784683131400;3,03059972196595;2,6730209071289;2,83632411570675;1,82795052830263;11,8946943165335;3445539,42894334;409876,854723275;46751,1663495099;5305,54992111086;637,106711354437
"655";655;"2020-11-16";60;14;42;2;118825,5;2185;"EURECAT";"DSOL";259633717500;1,77815125038364;1,14612803567824;1,6232492903979;0,301029995663981;11,4143610917236;1135920,76025493;135483,655092968;15459,6000239798;1763,99987482903;210,401316607864
"656";656;"2020-11-16";938;377;571;53,86;50650,35;25080;"EURECAT";"DTAR";1270310778000;2,97220283837906;2,57634135020579;2,75663610824585;1,73126634907549;12,1039099828924;5556839,77373754;667965,588084639;75765,1241277917;8613,76056446455;1028,45392003225
"657";657;"2020-11-16";169;54;81;7,71;60629,26;5414;"EURECAT";"DTOT";328246813640;2,22788670461367;1,73239375982297;1,90848501887865;0,887054378050957;11,5162005189952;1439975,2213351;172769,489956844;19633,6773053004;2221,19834025049;266,924404197154
"658";658;"2020-11-16";140;62;100;8,86;37012,67;3079;"EURECAT";"DTRG";113962010930;2,14612803567824;1,79239168949825;2;0,947433721887051;11,0567601040292;498531,976672859;59975,0312591408;6796,27285666961;771,976604604609;92,6807488581592
"659";659;"2020-11-16";9;9;102;1,29;46008,2;1309;"EURECAT";"DTRP";60224733800;0,954242509439325;0,954242509439325;2,00860017176192;0,110589710299249;10,7797748890449;263606,02638779;31563,6870306046;3591,41768338732;405,356907559068;48,9321111992172
"660";660;"2020-11-16";1311;535;862;76,43;386738,45;28602;"Virus Entèrics-UB";"DMDV";11061493146900;3,11760269169008;2,72835378202123;2,93550726582471;1,88326385958497;13,043813754608;48387434,0575759;5762711,4453993;664622,452944837;75178,2491016453;8991,5073701727
"661";661;"2020-11-16";255;96;208;13,71;622922,89;10505;"Virus Entèrics-UB";"DBAY";6543804959450;2,40654018043396;1,98227123303957;2,31806333496276;1,13703745478951;12,815830346547;28668164,2283651;3432200,11762429;389403,64044893;44737,556840485;5312,72778943089
"662";662;"2020-11-16";1197;469;761;67;499379,69;40777;"Virus Entèrics-UB";"DGIR";20363205619130;3,07809415040641;2,67117284271508;2,88138465677057;1,82607480270083;13,3088461466074;89126391,866243;10662346,371468;1216707,54581959;138552,55125728;16498,0987021003
"663";663;"2020-11-16";694;328;529;46,86;426992,29;21884;"Virus Entèrics-UB";"DGRA";9344299274360;2,84135947045485;2,51587384371168;2,72345567203519;1,67080228426094;12,970546739349;40778302,6934279;4889503,01071267;557286,373085103;63429,8332768682;7604,64228458009
"664";664;"2020-11-16";405;131;255;18,71;249805,66;15586;"Virus Entèrics-UB";"DVDP";3893471016760;2,60745502321467;2,11727129565576;2,40654018043396;1,27207378750001;12,5903369461291;17081580,5884994;2045062,7409567;230997,203681745;26324,6266513073;3155,82109588069
"665";665;"2020-11-16";5424;2143;3642;306,14;881574,17;190318;"Virus Entèrics-UB";"DPDL";167779432886060;3,73431968085901;3,33102217104183;3,5613399414589;2,4859200778637;14,2247387220973;737492093,217413;87995982,1653026;10077522,8434862;1131797,80471935;136292,393060221
"666";666;"2020-11-16";161;53;91;7,57;97317,16;4741,88;"Virus Entèrics-UB";"DBER";461466294660,8;2,20682587603185;1,72427586960079;1,95904139232109;0,879095879500073;11,664139985801;2014556,92184992;241816,286232761;27450,7512734573;3119,55463107836;372,474723036425
"667";667;"2020-11-16";786;248;414;35,43;278041,4;21852;"Virus Entèrics-UB";"DRUB";6075760672800;2,89542254603941;2,39445168082622;2,6170003411209;1,54937115233318;12,7836006584545;26547278,8715404;3178257,66532335;362687,925748136;41340,5377291549;4937,22542691683
"668";668;"2020-11-16";107;54;83;7,71;250068,72;4914;"Virus Entèrics-UB";"DPUI";1228837690080;2,02938377768521;1,73239375982297;1,91907809237607;0,887054378050957;12,0894945232789;5382748,84869635;644840,219699679;72017,6382220294;8290,90605544456;995,298580478317
