EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DIGU;2020-07-20;107;2,14E+02;6,48E+03;2,40E+04;5,14E+09;1,56E+11;0,03;9,711032153;2,029383778;
DIGU;2020-07-13;15;5,86E+03;5,13E+03;2,57E+04;1,51E+11;1,32E+11;1,14;11,17815439;1,176091259;
DIGU;2020-07-06;13;4,90E+02;4,90E+02;2,66E+04;1,30E+10;1,30E+10;1,00;10,11441034;1,113943352;
DMAN;2020-10-26;189;7,21E+04;1,66E+05;6,78E+03;4,89E+11;1,13E+12;0,43;11,68911304;2,276461804;12,0511822
DMAN;2020-10-19;142;7,61E+04;1,29E+05;5,50E+03;4,19E+11;7,07E+11;0,59;11,62170854;2,152288344;11,84950894
DMAN;2020-10-12;143;4,41E+04;2,77E+04;4,98E+03;2,19E+11;1,38E+11;1,59;11,34096892;2,155336037;11,13891637
DMAN;2020-10-05;78;2,44E+04;2,91E+04;5,51E+03;1,34E+11;1,60E+11;0,84;11,12793321;1,892094603;11,20485946
DMAN;2020-09-28;123;2,42E+04;;5,65E+03;1,37E+11;;;11,13600314;2,089905111;
DMAN;2020-09-21;88;1,63E+04;1,09E+04;1,06E+04;1,73E+11;1,15E+11;1,50;11,23705053;1,944482672;11,06189938
DMAN;2020-09-14;37;7,64E+03;2,30E+04;6,41E+03;4,90E+10;1,48E+11;0,33;10,69000495;1,568201724;11,16926121
DMAN;2020-09-07;32;5,48E+04;1,90E+03;6,30E+03;3,46E+11;1,20E+10;28,84;11,53846293;1,505149978;10,07849322
DMAN;2020-08-31;27;2,13E+05;4,36E+04;8,32E+03;1,77E+12;3,62E+11;4,88;12,2475375;1,431363764;11,55897959
DMAN;2020-08-24;28;2,04E+05;6,95E+04;6,09E+03;1,24E+12;4,23E+11;2,94;12,09456044;1,447158031;11,62664716
DMAN;2020-08-17;17;4,32E+04;;6,27E+03;2,71E+11;;;11,43289333;1,230448921;
DMAN;2020-08-10;17;1,83E+04;4,81E+03;5,89E+03;1,08E+11;2,83E+10;3,81;11,0332428;1,230448921;10,45232905
DMAN;2020-08-03;10;3,21E+02;1,12E+03;8,56E+03;2,75E+09;9,61E+09;0,29;9,439509435;1;9,982547468
DMAN;2020-07-27;6;1,05E+03;9,40E+03;9,34E+03;9,76E+09;8,78E+10;0,11;9,98946411;0,77815125;10,94328177
DMAN;2020-07-20;3;2,29E+02;4,16E+03;8,23E+03;1,88E+09;3,42E+10;0,05;9,274207933;0,477121255;10,53388201
DMAN;2020-07-13;5;1,66E+03;8,94E+03;9,58E+03;1,59E+10;8,57E+10;0,19;10,20121354;0,698970004;10,93303505
DMAS;2020-10-26;261;3,44E+04;6,52E+03;2,23E+04;7,67E+11;1,45E+11;5,28;11,88501856;2,416640507;
DMAS;2020-10-19;204;3,46E+04;5,56E+03;2,22E+04;7,68E+11;1,24E+11;6,22;11,8855316;2,309630167;
DMAS;2020-10-12;153;4,12E+04;2,28E+04;2,00E+04;8,24E+11;4,55E+11;1,81;11,91602448;2,184691431;
DMAS;2020-10-05;69;1,47E+05;8,20E+04;2,18E+04;3,20E+12;1,78E+12;1,79;12,50544389;1,838849091;
DMAS;2020-09-28;83;9,05E+03;;2,11E+04;1,91E+11;;;11,28089379;1,919078092;
DMAS;2020-09-21;89;4,70E+03;1,44E+04;2,32E+04;1,09E+11;3,33E+11;0,33;11,03641157;1,949390007;
DMAS;2020-09-14;86;1,55E+04;7,59E+04;2,19E+04;3,38E+11;1,66E+12;0,20;11,52916463;1,934498451;
DMAS;2020-09-07;72;1,80E+04;1,58E+03;2,40E+04;4,32E+11;3,80E+10;11,36;11,63550632;1,857332496;
DMAS;2020-08-31;80;4,45E+04;3,40E+03;1,84E+04;8,19E+11;6,26E+10;13,08;11,91327802;1,903089987;
DMAS;2020-08-24;54;8,14E+04;2,69E+04;2,14E+04;1,74E+12;5,77E+11;3,02;12,24125531;1,73239376;
DMAS;2020-08-17;63;1,14E+04;8,11E+02;2,13E+04;2,44E+11;1,73E+10;14,09;11,38744209;1,799340549;
DMAS;2020-08-10;43;3,29E+04;1,99E+05;2,14E+04;7,03E+11;4,26E+12;0,17;11,84713102;1,633468456;
