EDAR provincia;EDAR;Data mostreig;Mitjana darrers 7 dies (promig);Nº casos darrers 7 dies (acum);Nº casos darrers 14 dies (acum);Nº casos darrers 7 dies i següents 7 dies;Nº casos dia -7;Nº casos dia -6;Nº casos dia -5;Nº casos dia -4;Nº casos dia -3;Nº casos dia -2;Nº casos dia -1;Nº casos dia 0;Nº casos dia 1;Nº casos dia 2;Nº casos dia 3;Nº casos dia 4;Nº casos dia 5;Nº casos dia 6;Nº casos dia 7;Nº habitants municipis assistits EDAR;ID mostra;Laboratori;Mètode concentració;Data Concentració;Control intern proces/Concentració;Concentració de l'estoc/Concentracio;Volum afegit/Concentració;Data anàlisi molecular;Volum mostra processat;Volum control intern;Volum concentrat;Factor concentració;Volum de concentrat per extracció;Volum extracte RNA;Volum RNA per RT-qPCR;Volum equivalent analitzat;Observacions mostra;Control interno;CI Limit of detection (LDt);CI Limit of detection (LDe);CI Limit of detection (LQe);CI Ct (1)/rep#1;CI Ct (1)/rep#2;CI Ct (1/10)/rep#1;CI Ct (1/10)/rep#2;CI Concentracio final;CI Categoria;CI % Recuperació;N1 Nom diana;N1 Limit of detection (LDt);N1 Limit of detection (LDe);N1 Limit of detection (LQe);N1 Ct (1)/rep#1;N1 Ct (1)/rep#2;N1 Ct (1/10)/rep#1;N1 Ct (1/10)/rep#2;N1 Concentracio final;N1 Categoria;N1 càrrega;N1 spline;N1 tendència concentració;N1 tendència càrrega;N1 tendència spline;N2 Nom diana;N2 Limit of detection (LDt);N2 Limit of detection (LDe);N2 Limit of detection (LQe);N2 Ct (1)/rep#1;N2 Ct (1)/rep#2;N2 Ct (1/10)/rep#1;N2 Ct (1/10)/rep#2;N2 Concentracio final;N2 Categoria;N2 càrrega;N2 spline;N2 tendència concentració;N2 tendència càrrega;N2 tendència spline;IP4 Nom diana;IP4 Limit of detection (LDt);IP4 Limit of detection (LDe);IP4 Limit of detection (LQe);IP4 Ct (1)/rep#1;IP4 Ct (1)/rep#2;IP4 Ct (1/10)/rep#1;IP4 Ct (1/10)/rep#2;IP4 Concentracio final;IP4 Categoria;IP4 càrrega;IP4 spline;IP4 tendència concentració;IP4 tendència càrrega;IP4 tendència spline;E Nom diana;E Limit of detection (LDt);E Limit of detection (LDe);E Limit of detection (LQe);E Ct (1)/rep#1;E Ct (1)/rep#2;E Ct (1/10)/rep#1;E Ct (1/10)/rep#2;E Concentracio final;E Categoria;E càrrega;E spline;E tendència concentració;E tendència càrrega;E tendència spline;Adenovirus humans Nom diana;Adenovirus humans Limit of detection (LDt);Adenovirus humans Limit of detection (LDe);Adenovirus humans Limit of detection (LQe);Adenovirus humans Ct (1)/rep#1;Adenovirus humans Ct (1)/rep#2;Adenovirus humans Ct (1/10)/rep#1;Adenovirus humans Ct (1/10)/rep#2;Adenovirus humans Concentracio final;Adenovirus humans Categoria;Adenovirus humans càrrega;Adenovirus humans spline;Adenovirus humans tendència concentració;Adenovirus humans tendència càrrega;Adenovirus humans tendència spline;Slope;Trend;LowCI;HighCI;PDC;x;y;LLoc presa de mostra;Retorns al punt de mostreig;Tipus mostreig;Mostra integrada de;Tipus mostra integrada;Funcionament correcte mostrejador;Nº ampolles submostra;Freqüència de succió del mostrejador;Inici mostreig;Final mostreig;Cabal influent últimes 24h;Cabal influent últimes 24h calculat;Cabal màxim registrat;Cabal mínim registrat;Aigua residual de font industrial;Temperatura aigua residual entrada;Precipitació registrada últimes 24h;Conductivitat;SST;SSV;NO2;NO3;PO4;NH4;TKN;TP;pH;DQO;DQO filtrada;DBO5;E. coli;Observacions;Mostra enviada;CI Control interno;MS2  Nom diana;MS2  Limit of detection (LDt);MS2  Limit of detection (LDe);MS2  Limit of detection (LQe);MS2  Ct (1)/rep#1;MS2  Ct (1)/rep#2;MS2  Ct (1/10)/rep#1;MS2  Ct (1/10)/rep#2;MS2  Concentracio final;MS2  Categoria; Nom diana; Limit of detection (LDt); Limit of detection (LDe); Limit of detection (LQe); Ct (1)/rep#1; Ct (1)/rep#2; Ct (1/10)/rep#1; Ct (1/10)/rep#2; Concentracio final; Categoria;N1r Nom diana;N1r Limit of detection (LDt);N1r Limit of detection (LDe);N1r Limit of detection (LQe);N1r Ct (1)/rep#1;N1r Ct (1)/rep#2;N1r Ct (1/10)/rep#1;N1r Ct (1/10)/rep#2;N1r Concentracio final;N1r Categoria;N2r Nom diana;N2r Limit of detection (LDt);N2r Limit of detection (LDe);N2r Limit of detection (LQe);N2r Ct (1)/rep#1;N2r Ct (1)/rep#2;N2r Ct (1/10)/rep#1;N2r Ct (1/10)/rep#2;N2r Concentracio final;N2r Categoria
Lleida;DSOL;2021-07-05;14.14;99;142;158;10;20;17;13;35;4;0;5;16;10;14;7;1;1;5;10080;DSOL-2021-07-05;EURECAT;CENTRICON;2021-07-06;MS2;18000000.00;1000.00;2021-07-07;70.00;1000.00;0.21;333.33;210.00;70.00;5.00;5.00;;MS2;200.00;200.00;2000.00;100.00;100.00;32.20;32.10;2420432.73;4.08;0.9413;N1;200.00;200.00;2000.00;33.00;33.04;33.21;33.84;242138.82;3.08;496384580517.92;248268592514.73;0,4881;0,467168087;0,035583882;N2;200.00;200.00;2000.00;35.21;35.62;35.10;35.46;77765.98;2.59;159420250848.16;200977501449.44;-0,4391;-0,459970875;-0,064193781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,11975;PLATEAU;-0,302097595;0,062597595;-24,09856269;"0; 7; 14";"5.3841; 4.8960; 3.7076";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;1 h;2021-07-05;2021-07-06;2050.00;2050;200.00;60.00;0.00;24.60;0.00;1470.00;230.00;142.00;0.00;0.50;21.00;61.30;67.00;7.00;8.05;536.00;178.00;167.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DSLL;2021-07-05;3.29;23;28;72;1;3;4;2;9;2;2;4;13;4;3;10;5;1;9;12356;DSLL-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;;;;;;;;;;;;N1;375.00;1901.25;3622.50;36.36;35.79;100.00;38.80;205996.70;2.74;492126127041.78;227805897057.09;0,3724;0,355812561;0,037537059;N2;375.00;1631.25;3540.00;34.55;35.22;100.00;100.00;168517.73;2.65;402588862804.67;165524237777.83;1,0903;1,073711036;0,119575619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,068685714;DECREASE;-0,125137176;-0,012234252;-14,62822999;"0; 7; 14";"5.3139; 4.9415; 4.3523";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;Composta en relació al cabal (diferent volum per ampolla);1;24;20 min;2021-07-05;2021-07-06;2389.00;2389;160.00;0.00;0.00;22.20;0.00;2470.00;676.00;564.00;0.02;1.50;2.90;41.00;81.00;14.00;7.70;977.00;226.00;550.00;2600000.00;"ES PRENEN LES MOSTRES JUST DESPRÉS DEL TAMÍS (Abans dessorrador)
Temperatura puntual 9:00h
FESTIU -DILLUNS
Resultats formes N expressants en mg/l (no en mgN/l)
Ecoli en NMP/100 ml  Es realitza l'analítica 1 x mes

";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DSFL;2021-07-05;256.57;1796;2210;4623;218;242;317;330;310;218;161;370;418;410;419;362;213;211;424;341207;DSFL-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;;;;;;;;;;;;N1;375.00;1901.25;3622.50;33.13;33.49;37.36;36.75;1311618.54;3.54;57480370704899.29;22784818594745.25;1,1442;1,155767354;0,122286813;N2;375.00;1631.25;3540.00;31.79;31.98;36.58;35.38;1063884.37;3.45;46623668635992.20;17339756627596.00;1,7536;1,765117068;0,116207157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,176342857;DECREASE;-0,223316306;-0,129369408;-33,37194388;"0; 7; 14";"6.1178; 4.9736; 3.6490";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;8;1 h;2021-07-05;2021-07-06;43824.00;43824;2723.00;1034.00;0.00;14.00;0.00;2724.00;392.00;0.00;0.00;0.00;6.82;44.20;0.00;0.00;7.71;823.00;0.00;0.00;0.00;La mostra es recull en una única ampolla en el mostrejador. No hi ha resultat de DBO perquè l'aparell està espatllat.;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DRUS;2021-07-05;63.71;446;551;1484;51;44;64;66;92;77;52;148;163;141;139;100;96;89;162;108581;DRUS-2021-07-05;EURECAT;CENTRICON;2021-07-06;MS2;18000000.00;1000.00;2021-07-07;70.00;1000.00;0.51;137.25;250.00;70.00;5.00;2.45;;MS2;408.00;408.00;4080.00;100.00;100.00;29.90;29.90;20565510.85;4.70;7.9977;N1;408.00;408.00;4080.00;34.68;34.00;34.33;34.30;275369.26;2.83;4251701363977.45;2387924549432.69;2,9805;2,960191747;0,201825099;N2;408.00;408.00;4080.00;38.98;37.52;36.03;35.86;96762.50;2.38;1494013042383.98;1735075139942.00;-0,0055;-0,025794538;0,134369517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,092835714;PLATEAU;-1,306568181;1,120896753;-19,24595496;"0; 7; 14";"5.4399; 2.4594; 4.1402";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;Composta en relació al cabal (diferent volum per ampolla);1;8;1 h;2021-07-05;2021-07-06;15440.00;15440;17540.00;1100.00;250.00;24.80;0.00;1664.00;1400.00;725.00;4.70;2.00;4.60;48.50;69.80;8.88;7.60;926.00;477.00;284.00;2400000.00;"L'aparell de presa de mostres té 4 botelles de 10 litres i la presa de mostra és realitza de manera proporcional al cabal d'entrada a l'estar connectat al cabalímetre d'entrada de l'EDAR, la mostra integrada (24h) s'obté de barrejar directament les quatre submostres que es prenen amb intervals de sis hores.
Precipitació de l'estació de Riudecanyes.

";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DRUB;2021-07-05;137.29;961;1180;2404;100;114;154;169;155;167;102;162;193;197;216;205;138;115;217;168470;DRUB-2021-07-05;Virus Enterics-UB;Al(Oh)3;2021-07-05;TGEV;138000000.00;10.00;2021-07-06;200.00;10.00;1.80;111.11;150.00;100.00;5.00;0.83;;TGEV;1200.00;1200.00;0.00;21.24;22.29;24.19;28.44;1086560.92;2.96;15.7473;N1;1200.00;37200.00;34140.00;30.02;30.21;33.25;33.15;1221746.99;3.01;25993888914966.61;26822723982066.00;0,4767;0,488497175;0,295830365;;;;;;;;;;;;;;;;IP4;1200.00;98400.00;52788.00;31.84;31.98;34.52;35.46;357174.87;2.47;7599252510307.51;11614781370968.00;0,7027;0,714499749;0,289584743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,097585714;PLATEAU;-0,20507263;0,009901202;-20,124372;"0; 7; 14";"6.0870; 5.6103; 4.7208";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;21276.00;21276;1154.00;447.00;35.00;25.00;0.00;1724.00;418.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;7.65;656.00;0.00;260.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DPUI;2021-07-05;11.14;78;80;152;5;4;24;20;9;13;3;9;7;16;6;12;3;4;17;10675;DPUI-2021-07-05;Virus Enterics-UB;Al(Oh)3;2021-07-05;TGEV;138000000.00;10.00;2021-07-06;200.00;10.00;2.10;95.24;150.00;100.00;5.00;0.71;Repetició IP4;TGEV;1400.00;1400.00;0.00;21.37;21.03;24.73;24.90;1662100.42;3.07;24.0884;N1;1400.00;43400.00;39830.00;32.05;31.94;34.74;35.52;394341.25;2.45;2440183628672.85;1960650602388.00;0,8088;0,711837704;0,323956069;;;;;;;;;;;;;;;;IP4;1400.00;114800.00;61586.00;33.29;33.35;38.36;41.78;139083.78;2.00;860650432972.15;769965313409.25;0,5457;1,1759972;0,318264749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,158664286;DECREASE;-0,315858693;-0,001469878;-30,60379612;"0; 7; 14";"5.5959; 4.7871; 3.3746";Altres;FALSE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;6188.00;6188;374.00;180.00;0.00;16.70;0.00;536.00;106.00;0.00;0.10;0.38;0.00;13.40;28.40;3.54;7.21;209.00;77.90;100.00;0.00;Nitrògen és total;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DPDL;2021-07-05;1076.43;7535;9421;22940;983;1116;1320;1448;1412;706;550;2232;2110;2460;2173;1914;1001;842;2673;1593237;DPDL-2021-07-05;Virus Enterics-UB;Al(Oh)3;2021-07-05;TGEV;138000000.00;10.00;2021-07-06;200.00;10.00;3.50;57.14;150.00;100.00;5.00;0.43;Molt material en suspensió;TGEV;2333.33;2333.33;0.00;22.66;22.56;25.36;25.59;1465852.25;2.80;21.2442;N1;2333.33;72333.33;66383.33;30.47;30.40;33.23;34.09;1852799.94;2.90;356239697682856.88;403153379336062.00;0,3467;0,323762411;0,249148231;;;;;;;;;;;;;;;;IP4;2333.33;191333.33;102643.33;32.41;31.82;34.82;36.04;568942.54;2.39;109391151628901.39;134645411650232.00;0,8813;1,025312434;0,337277367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,113964286;PLATEAU;-0,348857568;0,120928997;-23,08063075;"0; 7; 14";"6.2678; 5.9211; 4.6723";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;192271.00;192271;8834.00;6591.00;0.00;0.00;0.00;0.00;310.00;0.00;0.00;0.00;0.00;61.50;0.00;14.00;7.00;677.00;0.00;0.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DPAM;2021-07-05;20.57;144;163;615;15;17;30;33;18;13;18;37;61;69;81;85;34;34;70;58479;DPAM-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;;;;;;;;;;;;N1;375.00;1901.25;3622.50;35.54;34.93;100.00;100.00;401578.42;3.03;6326868038279.31;4060393472165.28;3,0298;3,059662947;0,441588552;N2;375.00;1631.25;3540.00;35.58;35.77;38.13;36.75;317337.21;2.93;4999647780648.11;3051843749547.63;2,9275;2,957413581;0,437705141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,154581633;PLATEAU;-0,492687798;0,183524533;-29,94835029;"0; 14; 21";"5.6038; 2.5740; 2.5740";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;1 h;2021-07-05;2021-07-06;15755.00;15755;0.00;0.00;0.00;0.00;0.00;2800.00;490.00;0.00;0.00;0.00;0.00;57.00;95.00;10.00;7.70;993.00;0.00;441.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DOLO;2021-07-05;18.00;126;156;328;25;20;22;13;29;11;6;29;31;32;39;19;7;10;35;44659;DOLO-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;;;;;;;;;;;;N1;375.00;1901.25;3622.50;37.90;34.93;100.00;100.00;274359.31;2.86;3881635536602.04;1662562360067.00;0,7083;0,716830675;0,057757571;N2;375.00;1631.25;3540.00;37.98;36.03;37.69;37.06;304823.60;2.91;4312644303033.21;1545407970029.13;1,5168;1,525307414;0,092950096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,064528571;PLATEAU;-0,198158139;0,069100996;-13,80711279;"0; 7; 14";"5.4383; 4.7300; 4.5349";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;14148.00;14148;990.00;400.00;0.00;22.00;0.00;2410.00;310.00;234.00;0.01;0.58;32.24;19.73;53.10;10.51;7.46;633.00;100.00;260.00;9200.00;"
Mostra porporcional al volum en dos trams : cabal diürn/ cabal nocturn.
No es disposa d'informació sobre el % d'aigua industrial.
";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DMRT;2021-07-05;12.71;89;106;242;14;13;19;12;14;8;9;16;11;27;26;19;18;12;24;28189;DMRT-2021-07-05;Virus Enterics-UB;Al(Oh)3;2021-07-05;TGEV;138000000.00;10.00;2021-07-06;200.00;10.00;2.30;86.96;150.00;100.00;5.00;0.65;;TGEV;1533.33;1533.33;0.00;21.46;21.45;24.82;26.38;1389702.53;2.96;20.1406;N1;1533.33;47533.33;43623.33;31.08;31.51;34.78;34.89;597758.28;2.59;3419177366700.32;3923218654190.00;0,9099;0,800334552;0,339944007;;;;;;;;;;;;;;;;IP4;1533.33;125733.33;67451.33;33.00;33.21;36.38;36.10;194181.94;2.10;1110720714872.81;1251711892796.00;0,724;0,905536618;0,238670389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,071135714;PLATEAU;-0,285666892;0,143395464;-15,1084847;"0; 7; 14";"5.7765; 4.8666; 4.7806";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;5720.00;5720;500.00;190.00;0.00;0.00;19.00;2505.00;342.00;0.00;0.00;0.00;0.00;45.50;68.30;9.80;7.80;778.00;0.00;320.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DMOF;2021-07-05;3.71;26;29;130;3;1;4;6;4;2;6;16;10;6;16;10;16;3;27;15185;DMOF-2021-07-05;EURECAT;CENTRICON;2021-07-06;MS2;18000000.00;1000.00;2021-07-07;70.00;1000.00;0.24;291.67;240.00;70.00;5.00;5.00;;MS2;200.00;200.00;2000.00;100.00;100.00;29.60;29.80;11467767.73;4.76;4.4597;N1;200.00;200.00;2000.00;33.95;33.46;34.30;34.36;133580.63;2.82;641187000108.94;771602048254.76;2,8247;2,778738892;0,383717118;N2;200.00;200.00;2000.00;37.22;35.80;35.20;34.89;92184.39;2.66;442485054507.58;714968782062.81;1,4399;1,393926466;0,406664705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,201764286;PLATEAU;-0,937273714;0,533745143;-37,16006686;"0; 7; 14";"5.1257; 2.3010; 2.3010";Després de dessorrador/desgreixador;FALSE;Manual;8h;;1;24;;2021-07-05;2021-07-06;4800.00;4800;225.00;187.00;10.00;16.00;0.00;0.00;130.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.50;160.00;0.00;130.00;0.00;Cabal diluït per entrada aigües de reg;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DMLN;2021-07-05;0.71;5;5;17;0;0;0;0;0;3;2;0;3;3;1;1;0;3;1;8777;DMLN-2021-07-05;EURECAT;CENTRICON;2021-07-06;MS2;18000000.00;1000.00;2021-07-07;70.00;1000.00;0.24;291.67;240.00;70.00;5.00;5.00;;MS2;200.00;200.00;2000.00;100.00;100.00;29.70;29.90;10762934.04;4.73;4.1856;N1;200.00;200.00;2000.00;100.00;38.68;100.00;39.67;1618.93;0.91;2456470970.06;48226277337.08;0;0,381832784;NaN;N2;200.00;200.00;2000.00;100.00;100.00;100.00;100.00;200.00;0.00;303468000.00;6879588440.30;0;-0,049953192;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,02585;PLATEAU;-0,180817552;0,232517552;6,132892386;"0; 14; 28";"3.2092; 2.7774; 3.9330";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;30 min;2021-07-05;2021-07-06;1517.34;1517,34;95.83;18.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Es realitza la mostra amb submostres calculades segons el cabal proporcional;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DMIR;2021-07-05;205.14;1436;1766;3603;163;207;275;260;219;180;132;293;321;298;290;280;181;179;325;269784;DMIR-2021-07-05;Virus Enterics-UB;Al(Oh)3;2021-07-05;TGEV;138000000.00;10.00;2021-07-06;200.00;10.00;2.00;100.00;150.00;100.00;5.00;0.75;;TGEV;1333.33;1333.33;0.00;21.75;21.56;24.75;25.07;1335738.94;3.00;19.3585;N1;1333.33;41333.33;37933.33;30.25;30.84;33.80;33.67;982057.00;2.87;46325592914440.99;44491402982672.00;0,3291;0,293677105;0,196810531;;;;;;;;;;;;;;;;IP4;1333.33;109333.33;58653.33;32.34;32.28;35.30;36.02;271057.12;2.31;12786306620090.29;18694123893296.00;0,4195;0,384019535;0,274625757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,078314286;PLATEAU;-0,19241498;0,035786409;-16,50014635;"0; 7; 14";"5.9921; 5.6630; 4.8957";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;15 min;2021-07-05;2021-07-06;47172.00;47172;2749.00;907.00;0.00;25.00;0.00;1602.00;317.00;220.00;0.20;0.88;5.35;41.10;59.40;8.64;7.96;1168.00;228.00;282.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DMAT;2021-07-05;130.14;911;1075;2096;119;153;182;136;157;86;78;194;147;160;174;161;101;79;169;188197;DMAT-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;;;;;;;;;;;;N1;375.00;1901.25;3622.50;34.04;34.28;36.40;100.00;856589.21;3.36;21500389232022.04;8866624425616.00;1,1621;1,14675778;0,125202025;N2;375.00;1631.25;3540.00;33.25;33.46;36.84;36.30;497939.07;3.12;12498270553867.79;5323406295513.00;1,0205;1,005170668;0,134389687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,11605;PLATEAU;-0,298189287;0,066089287;-23,44915306;"0; 7; 14";"5.9328; 4.7707; 4.3081";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;25100.00;25100;2200.00;200.00;35.00;25.50;0.00;2120.00;401.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.74;770.00;0.00;480.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DMAS;2021-07-05;27.29;191;232;546;24;34;38;26;32;13;24;36;52;54;45;45;21;30;72;92243;DMAS-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;;;;;;;;;;;;N1;375.00;1901.25;3622.50;35.47;35.46;39.87;39.23;282287.90;2.88;6384505381478.27;2760334018489.38;0,9563;1,00990682;0,144669898;N2;375.00;1631.25;3540.00;34.54;34.23;37.84;100.00;170528.27;2.66;3856837782063.28;1581733452552.50;1,1692;1,222851744;0,206767809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,047907143;PLATEAU;-0,371279239;0,275464953;-10,44437747;"0; 7; 14";"5.4507; 4.4944; 4.7800";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;22617.00;22617;1318.00;523.00;6.00;0.00;0.00;1537.00;412.00;340.00;0.07;3.00;4.40;36.00;50.00;12.50;7.90;538.00;0.00;220.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DMAN;2021-07-05;10.71;75;119;151;12;21;11;13;9;5;4;6;11;7;18;5;9;7;13;27898;DMAN-2021-07-05;UB_Girones;ultrafiltració;2021-07-06;MS2;0.00;1000.00;2021-07-07;80.00;800.00;0.43;186.05;140.00;70.00;5.00;1.86;;;;;;;;;;;;;N1;537.50;2725.13;5192.25;35.47;35.68;39.11;100.00;332126.07;2.79;1536415204569.32;1196977013122.63;-0,2054;-0,194512589;-0,007723879;N2;537.50;2338.13;5074.00;35.37;35.55;38.09;37.09;274615.23;2.71;1270370072094.20;770203798121.56;0,0509;0,061802591;0,027853283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,210521429;PLATEAU;-1,084920201;0,663877344;-38,41448586;"0; 7; 14";"5.5213; 5.7267; 2.5740";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;1 h;2021-07-05;2021-07-05;4626.00;4626;0.00;0.00;20.00;0.00;0.00;1973.00;290.00;0.00;0.00;0.00;0.00;28.00;46.00;8.60;7.56;498.00;0.00;0.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DLLL;2021-07-05;92.00;644;774;1701;71;93;138;101;121;57;63;186;144;163;126;155;64;66;153;137356;DLLL-2021-07-05;Virus Enterics-UB;Al(Oh)3;2021-07-05;TGEV;138000000.00;10.00;2021-07-06;200.00;10.00;2.00;100.00;150.00;100.00;5.00;0.75;;TGEV;1333.33;1333.33;0.00;22.07;22.58;25.58;25.72;851488.03;2.81;12.3404;N1;1333.33;41333.33;37933.33;31.58;31.61;34.56;35.51;446215.87;2.52;13991098568270.23;11285957327770.50;0,7587;0,878331008;0,386610599;;;;;;;;;;;;;;;;IP4;1333.33;109333.33;58653.33;36.77;34.06;100.00;100.00;46517.47;1.54;1458555287993.11;342140110248.31;0;0,221615751;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,018635714;PLATEAU;-0,180282705;0,143011276;-4,200269859;"0; 14; 28";"5.6495; 4.7678; 5.1277";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-07-05;2021-07-06;31355.00;31355;1871.00;912.00;27.00;21.40;0.00;1996.00;550.00;0.00;0.00;1.30;0.00;41.40;0.00;13.60;7.80;1080.00;0.00;0.00;7700000.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
