NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-07-25;2021-07-31;--;;;0.0000;0.0000;697;0.0000;892;36;6.6593;196;33;1;102;595;50;10;868;33;1583;1346
CATALUNYA;GLOBAL;2021-07-25;2021-07-31;Si;;;1693.4033;722.2501;502;25157.9023;14324;3162;4.6588;85;2;72;332;170;356;171;9248;2064;168;123
CATALUNYA;GLOBAL;2021-07-24;2021-07-30;--;;;0.0000;0.0000;703;0.0000;608;36;7.8905;194;32;1;87;616;39;10;588;33;1577;1363
CATALUNYA;GLOBAL;2021-07-24;2021-07-30;Si;;;1704.9133;728.0051;506;25218.3296;14318;3210;4.6195;90;2;78;333;173;349;173;9204;2096;169;125
CATALUNYA;GLOBAL;2021-07-24;2021-07-30;No;651.028;0.766202;849.6826;337.1032;25996;2977.8832;132180;97462;13.8262;1792;301;169;8708;17288;9520;17455;107134;87966;176605;181527
CATALUNYA;GLOBAL;2021-07-23;2021-07-29;No;698.349;0.780015;895.3023;359.5758;27729;3069.6672;138006;98714;14.2450;1807;299;158;9377;18352;10196;18511;112015;89508;172694;198201
CATALUNYA;GLOBAL;2021-07-23;2021-07-29;--;;;0.0000;0.0000;725;0.0000;406;39;9.5238;193;30;1;74;651;29;11;385;35;1550;1492
CATALUNYA;GLOBAL;2021-07-23;2021-07-29;Si;;;1677.5771;788.4324;548;24418.3871;14069;2903;5.1581;94;1;74;373;175;392;174;9045;1928;211;162
CATALUNYA;GLOBAL;2021-07-22;2021-07-28;No;753.023;0.796221;945.7459;385.9128;29760;3129.4604;139334;101997;14.9549;1855;291;148;10072;19688;10922;19921;113516;92724;171426;204798
CATALUNYA;GLOBAL;2021-07-22;2021-07-28;--;;;0.0000;0.0000;760;0.0000;213;42;15.0862;193;26;1;72;688;23;12;195;37;1776;1589
